Date : 2024-11-02 08:54:57
Directory : e:\fosi_stuff\E30\proj_by_RTOS
Total : 134 files,  62499 codes, 39044 comments, 17150 blanks, all 118693 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |         69 |     34,007 |     23,917 |     12,303 |     70,227 |
| C                  |         56 |     26,045 |     15,031 |      4,532 |     45,608 |
| HTML               |          2 |      1,628 |          0 |        215 |      1,843 |
| ARM                |          3 |        487 |         83 |         96 |        666 |
| JSON               |          1 |        311 |          0 |          0 |        311 |
| JSON with Comments |          1 |         14 |          0 |          0 |         14 |
| YAML               |          1 |          5 |         13 |          3 |         21 |
| Ini                |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
